id	title	author	author_norm	GND	date	series	genre	publisher	license	tokenCount				
k00300000147	Jagd nach dem Leben	Brand Kurt	Kurt, Brand	119389169	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	31598				
k00300000148	Der falsche Inspekteur	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33696				
k00300000149	Die Verdammten von Isan	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	31757				
k00300000150	Der Zweikampf	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33389				
k00300000151	Der Schatten des Overhead	Brand Kurt	Kurt, Brand	119389169	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	31091				
k00300000152	Die Toten leben	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33811				
k00300000153	Die Attentäter	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33628				
k00300000154	Attacke aus dem Unsichtbaren	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33341				
k00300000155	Rückkehr aus dem Nichts	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33278				
k00300000156	Festung Atlantis	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	31114				
k00300000157	Der Robot-Spion	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33418				
k00300000158	Die blauen Zwerge	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	32639				
k00300000159	Die Mikro-Techniker	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	34614				
k00300000160	Im Zeit-Gefängnis	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33868				
k00300000161	Ein Hauch Ewigkeit	Darlton Clark	Clark, Darlton	119077752	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33743				
k00300000162	Wächter der Verbannten	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33326				
k00300000163	Zwischenspiel auf Siliko V	Brand Kurt	Kurt, Brand	119389169	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	32416				
k00300000164	Hetzjagd durch die Dimensionen	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	33636				
k00300000165	Im Halbraum lauert der Tod	Mahr Kurt	Kurt, Mahr	123137179	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	36357				
k00300000166	Die letzten Tage von Atlantis	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	32070				
k00300000167	Fehlsprung der Tigris	Brand Kurt	Kurt, Brand	119389169	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	32402				
